term,definition,alias
サンプル用語086,"学習用のダミーデータ。サンプル用語086 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語087,"学習用のダミーデータ。サンプル用語087 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語088,"学習用のダミーデータ。サンプル用語088 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語089,"学習用のダミーデータ。サンプル用語089 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語090,"学習用のダミーデータ。サンプル用語090 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。","サンプル用語090 エイリアス,Alternative 90"
サンプル用語091,"学習用のダミーデータ。サンプル用語091 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語092,"学習用のダミーデータ。サンプル用語092 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語093,"学習用のダミーデータ。サンプル用語093 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語094,"学習用のダミーデータ。サンプル用語094 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語095,"学習用のダミーデータ。サンプル用語095 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。","サンプル用語095 エイリアス,Alternative 95"
サンプル用語096,"学習用のダミーデータ。サンプル用語096 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語097,"学習用のダミーデータ。サンプル用語097 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語098,"学習用のダミーデータ。サンプル用語098 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語099,"学習用のダミーデータ。サンプル用語099 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。",
サンプル用語100,"学習用のダミーデータ。サンプル用語100 の説明です。
・箇条書き風の表現を含めて長文を検証します。
・ツールチップやテーブルで改行が保持されるか確認してください。","サンプル用語100 エイリアス,Alternative 100"
